Date,Couverture de la Page Facebook
2022-06-21T00:00:00,140
2022-06-22T00:00:00,123
2022-06-23T00:00:00,303
2022-06-24T00:00:00,124
2022-06-25T00:00:00,88
2022-06-26T00:00:00,246
2022-06-27T00:00:00,116
2022-06-28T00:00:00,535
2022-06-29T00:00:00,295
2022-06-30T00:00:00,366
2022-07-01T00:00:00,151
2022-07-02T00:00:00,85
2022-07-03T00:00:00,83
2022-07-04T00:00:00,78
2022-07-05T00:00:00,57
2022-07-06T00:00:00,54
2022-07-07T00:00:00,413
2022-07-08T00:00:00,113
2022-07-09T00:00:00,82
2022-07-10T00:00:00,69
2022-07-11T00:00:00,460
2022-07-12T00:00:00,104
2022-07-13T00:00:00,5761
2022-07-14T00:00:00,1711
2022-07-15T00:00:00,619
2022-07-16T00:00:00,438
2022-07-17T00:00:00,315
2022-07-18T00:00:00,1157
2022-07-19T00:00:00,1127
2022-07-20T00:00:00,402
