Date,Couverture de la Page Facebook
2022-07-21T00:00:00,269
2022-07-22T00:00:00,190
2022-07-23T00:00:00,64
2022-07-24T00:00:00,50
2022-07-25T00:00:00,53
2022-07-26T00:00:00,40
2022-07-27T00:00:00,60
2022-07-28T00:00:00,64
2022-07-29T00:00:00,286
2022-07-30T00:00:00,92
2022-07-31T00:00:00,60
2022-08-01T00:00:00,70
2022-08-02T00:00:00,41
2022-08-03T00:00:00,60
2022-08-04T00:00:00,46
2022-08-05T00:00:00,58
2022-08-06T00:00:00,286
2022-08-07T00:00:00,72
2022-08-08T00:00:00,74
2022-08-09T00:00:00,50
2022-08-10T00:00:00,88
2022-08-11T00:00:00,331
2022-08-12T00:00:00,710
2022-08-13T00:00:00,164
2022-08-14T00:00:00,38
2022-08-15T00:00:00,52
2022-08-16T00:00:00,201
2022-08-17T00:00:00,86
2022-08-18T00:00:00,187
2022-08-19T00:00:00,67
2022-08-20T00:00:00,59
